model,pretrained,roc_auc,average_precision,hits@10,hits@50,mrr
hgt,False,0.9221101229940968,0.8997443943382818,0.5018172857758886,0.9088584981211113,0.2226371649611474
hgt,True,0.9242416958337442,0.8994914448697375,0.4999383970923428,0.9107681882584858,0.22290701335442945
rgcn,False,0.9207627424938992,0.8960134604707843,0.49464054703382,0.9083656748598534,0.212204623475579
rgcn,True,0.9204455992798065,0.8964069225392289,0.49165280601244377,0.9087044908519682,0.2086890726726591
